BASIC_SECTORID,TYPE_INDICATOR,PRIORITY_NUMBER,MIN_CROSS_TIME,HAND_OVER_MODE,FORCE_DISTANCE,SECTOR_VOLUMEID,SECTOR_FLAVOURID
ALB     ,M,0,0,A,10,EDMMALB     ,UAC
BBG     ,M,0,0,A,10,EDMMBBG     ,UAC
DEF     ,M,0,0,A,10,ZAOIDEF     ,AOI
DMN     ,M,0,0,A,10,EDMMDMN     ,UAC
EGG     ,M,0,0,A,10,EDMMEGG     ,UAC
FRKL    ,M,0,0,A,10,EDMMFRKL    ,UAC
FUE     ,M,0,0,A,10,EDMMFUE     ,UAC
HOF     ,M,0,0,A,10,EDMMHOF     ,UAC
LCHL    ,M,0,0,A,10,EDMMLCHL    ,UAC
NDG     ,M,0,0,A,10,EDMMNDG     ,UAC
RDG     ,M,0,0,A,10,EDMMRDG     ,UAC
SASH    ,M,0,0,A,10,EDMMSASH    ,UAC
SASL    ,M,0,0,A,10,EDMMSASL    ,UAC
STA     ,M,0,0,A,10,EDMMSTA     ,UAC
TEG     ,M,0,0,A,10,EDMMTEG     ,UAC
TRGL    ,M,0,0,A,10,EDMMTRGL    ,UAC
TRN     ,M,0,0,A,10,EDMMTRGN    ,UAC
TRS     ,M,0,0,A,10,EDMMTRGS    ,UAC
WLD     ,M,0,0,A,10,EDMMWLD     ,UAC
ZUG     ,M,0,0,A,10,EDMMZUG     ,UAC
DMNL    ,A,1,0,A,10,EDMMDMN     ,UAC
DMNH    ,A,2,0,A,10,EDMMDMN     ,UAC
DMNAT   ,A,3,0,A,10,EDMMDMN     ,UAC
DMND    ,A,4,0,A,10,EDMMDMN     ,UAC
DMSL    ,A,5,0,A,10,EDMMDMN     ,UAC
DMSH    ,A,6,0,A,10,EDMMDMN     ,UAC
DMSAT   ,A,7,0,A,10,EDMMDMN     ,UAC
DMSD    ,A,8,0,A,10,EDMMDMN     ,UAC