SECTOR_VOLUMEID,LONG_DESCRIPTION,ASSIGNMENT_MODE
EDGGBAD     ,,E
EDGGDKB     ,,E
EDGGDLDN    ,,E
EDGGDLDS    ,,E
EDGGGED     ,,E
EDGGGIN     ,,E
EDGGHAB     ,,E
EDGGHEF     ,,E
EDGGKIR     ,,E
EDGGKNG     ,,E
EDGGKTG     ,,E
EDGGLBU     ,,E
EDGGMANH    ,,E
EDGGMOS     ,,E
EDGGNKRH    ,,E
EDGGNOR     ,,E
EDGGPADH    ,,E
EDGGPFA     ,,E
EDGGREU     ,,E
EDGGRUD     ,,E
EDGGSIG     ,,E
EDGGTAU     ,,E
EDMMALB     ,,N
EDMMBBG     ,,N
EDMMDMN     ,,N
EDMMEGG     ,,N
EDMMFRKL    ,,N
EDMMFUE     ,,N
EDMMHOF     ,,N
EDMMLCHL    ,,N
EDMMNDG     ,,N
EDMMRDG     ,,N
EDMMSASH    ,,N
EDMMSASL    ,,N
EDMMSTA     ,,N
EDMMTEG     ,,N
EDMMTRGL    ,,N
EDMMTRGN    ,,N
EDMMTRGS    ,,N
EDMMWLD     ,,N
EDMMZUG     ,,N
EDUUALP1    ,,E
EDUUCHI1    ,,E
EDUUDON1    ,,E
EDUUERL1    ,,E
EDUUFFM1    ,,E
EDUUFUL1    ,,E
EDUUHVL1    ,,E
EDUUISA1    ,,E
EDUUNTM1    ,,E
EDUUOSE1    ,,E
EDUUSAL1    ,,E
EDUUSLN1    ,,E
EDUUSPE1    ,,E
EDUUTGO1    ,,E
EDUUWUR1    ,,E
EDUUWUR2    ,,E
EDWWBOR     ,,E
EDWWFLG     ,,E
EDWWLOW     ,,E
EDWWMAR     ,,E
EDWWMRZ     ,,E
EDYYCC      ,,E
EDYYCH      ,,E
EDYYCVDL    ,,E
EDYYHC      ,,E
EDYYHH      ,,E
EDYYHVDL    ,,E
EDYYLC      ,,E
EDYYLH      ,,E
EDYYLOW     ,,E
EDYYMC      ,,E
EDYYMH      ,,E
EDYYMVDL    ,,E
EDYYOC      ,,E
EDYYOH      ,,E
EDYYRC      ,,E
EDYYRH      ,,E
EDYYRVDL    ,,E
EDYYSC      ,,E
EDYYSH      ,,E
EDYYSVDL    ,,E
EPWWB       ,,E
EPWWD       ,,E
EPWWLOW     ,,E
EPWWT       ,,E
LIPPCW2     ,,E
LIPPCW4     ,,E
LIPPCW6     ,,E
LIPPNE2     ,,E
LIPPNE4     ,,E
LIPPNE5     ,,E
LIPPNE6     ,,E
LIPPNW4     ,,E
LIPPNW5     ,,E
LIPPNW6     ,,E
LKAALOW     ,,E
LKAANH      ,,E
LKAANM      ,,E
LKAANT      ,,E
LKAAWH      ,,E
LKAAWM      ,,E
LKAAWT      ,,E
LOVVB1      ,,E
LOVVB2      ,,E
LOVVB3      ,,E
LOVVB4      ,,E
LOVVB5      ,,E
LOVVN1      ,,E
LOVVN2      ,,E
LOVVN3      ,,E
LOVVN4      ,,E
LOVVN5      ,,E
LOVVS       ,,E
LOVVW1      ,,E
LOVVW2      ,,E
LOVVW3      ,,E
LOVVW4      ,,E
LOVVW5      ,,E
LSAZLOW     ,,E
LSAZM2      ,,E
LSAZM3      ,,E
LSAZM4      ,,E
LSAZM5      ,,E
LSAZM6      ,,E
VVLOWI      ,,E
ZAOIDEF     ,,C